indice_tiempo,total_1ra_dosis_aplicadas
2020-12-29,20481
2020-12-30,20096
2020-12-31,2806
2021-01-01,127
2021-01-02,3309
2021-01-03,441
2021-01-04,10457
2021-01-05,10726
2021-01-06,10110
2021-01-07,18221
2021-01-08,27880
2021-01-09,10207
2021-01-10,1173
2021-01-11,19818
2021-01-12,19374
2021-01-13,16768
2021-01-14,16644
2021-01-15,17435
2021-01-16,5883
2021-01-17,1057
2021-01-18,9820
2021-01-19,7815
2021-01-20,5911
2021-01-21,4799
2021-01-22,5022
2021-01-23,1113
2021-01-24,91
2021-01-25,7123
2021-01-26,5319
2021-01-27,4092
2021-01-28,1443
2021-01-29,1462
2021-01-30,202
2021-01-31,8
2021-02-01,2272
2021-02-02,5643
2021-02-03,10410
2021-02-04,10324
2021-02-05,13888
2021-02-06,3076
2021-02-07,570
2021-02-08,16468
2021-02-09,14266
2021-02-10,11010
2021-02-11,4667
2021-02-12,4258
2021-02-13,363
2021-02-14,24
2021-02-15,1079
2021-02-16,1037
2021-02-17,19650
2021-02-18,52271
2021-02-19,60342
2021-02-20,31076
2021-02-21,20141
2021-02-22,65828
2021-02-23,82829
2021-02-24,87334
2021-02-25,68017
2021-02-26,70655
2021-02-27,15882
2021-02-28,5809
2021-03-01,67225
2021-03-02,68419
2021-03-03,64289
2021-03-04,98454
2021-03-05,98917
2021-03-06,51149
2021-03-07,11706
2021-03-08,99997
2021-03-09,113481
2021-03-10,157647
2021-03-11,154039
2021-03-12,118006
2021-03-13,19108
2021-03-14,7930
2021-03-15,108996
2021-03-16,111617
2021-03-17,121362
2021-03-18,95543
2021-03-19,90102
2021-03-20,38086
2021-03-21,18313
2021-03-22,70281
2021-03-23,93944
2021-03-24,36220
2021-03-25,87783
2021-03-26,83186
2021-03-27,51942
2021-03-28,20767
2021-03-29,115409
2021-03-30,157702
2021-03-31,170075
2021-04-01,115025
2021-04-02,67139
2021-04-03,73953
2021-04-04,48382
2021-04-05,156374
2021-04-06,185883
2021-04-07,231876
2021-04-08,231049
2021-04-09,228223
2021-04-10,87592
2021-04-11,46794
2021-04-12,173201
2021-04-13,161444
2021-04-14,156782
2021-04-15,129972
2021-04-16,115543
2021-04-17,40303
2021-04-18,19771
2021-04-19,76088
2021-04-20,107005
2021-04-21,159204
