indice_tiempo,total_1ra_y_2da_dosis_aplicadas_acumulado
2020-12-29,20483
2020-12-30,40585
2020-12-31,43391
2021-01-01,43518
2021-01-02,46830
2021-01-03,47274
2021-01-04,57737
2021-01-05,68466
2021-01-06,78578
2021-01-07,96802
2021-01-08,124690
2021-01-09,134899
2021-01-10,136076
2021-01-11,155901
2021-01-12,175294
2021-01-13,192063
2021-01-14,208712
2021-01-15,226154
2021-01-16,232038
2021-01-17,233100
2021-01-18,242932
2021-01-19,256180
2021-01-20,275607
2021-01-21,289725
2021-01-22,298944
2021-01-23,302889
2021-01-24,303192
2021-01-25,317405
2021-01-26,330218
2021-01-27,340325
2021-01-28,356374
2021-01-29,379876
2021-01-30,389190
2021-01-31,389814
2021-02-01,409339
2021-02-02,433217
2021-02-03,459833
2021-02-04,487968
2021-02-05,521006
2021-02-06,531931
2021-02-07,533314
2021-02-08,556736
2021-02-09,576932
2021-02-10,592557
2021-02-11,610411
2021-02-12,626248
2021-02-13,629284
2021-02-14,629436
2021-02-15,630754
2021-02-16,632066
2021-02-17,656468
2021-02-18,720298
2021-02-19,788184
2021-02-20,820805
2021-02-21,840982
2021-02-22,908536
2021-02-23,995483
2021-02-24,1089286
2021-02-25,1168799
2021-02-26,1250478
2021-02-27,1268372
2021-02-28,1274497
2021-03-01,1349054
2021-03-02,1424676
2021-03-03,1496146
2021-03-04,1608227
2021-03-05,1719976
2021-03-06,1774914
2021-03-07,1786701
2021-03-08,1889190
2021-03-09,2004991
2021-03-10,2168968
2021-03-11,2355812
2021-03-12,2517471
2021-03-13,2563861
2021-03-14,2573031
2021-03-15,2710646
2021-03-16,2844389
2021-03-17,2983963
2021-03-18,3122920
2021-03-19,3249106
2021-03-20,3299979
2021-03-21,3319611
2021-03-22,3402674
2021-03-23,3509150
2021-03-24,3546612
2021-03-25,3649808
2021-03-26,3743379
2021-03-27,3798467
2021-03-28,3819292
2021-03-29,3939491
2021-03-30,4102515
2021-03-31,4277464
2021-04-01,4394602
2021-04-02,4462757
2021-04-03,4537247
2021-04-04,4585729
2021-04-05,4751724
2021-04-06,4945723
2021-04-07,5184156
2021-04-08,5420120
2021-04-09,5660520
2021-04-10,5753462
2021-04-11,5801773
2021-04-12,5983600
2021-04-13,6169649
2021-04-14,6341325
2021-04-15,6492423
2021-04-16,6616147
2021-04-17,6661861
2021-04-18,6681764
2021-04-19,6772240
2021-04-20,6894967
2021-04-21,7068925
2021-04-22,7247104
2021-04-23,7441661
2021-04-24,7533885
2021-04-25,7583204
2021-04-26,7755323
2021-04-27,7909064
2021-04-28,8068061
2021-04-29,8224315
2021-04-30,8339264
2021-05-01,8359565
2021-05-02,8399736
2021-05-03,8574436
2021-05-04,8806470
2021-05-05,9051448
2021-05-06,9254254
2021-05-07,9459608
2021-05-08,9533883
2021-05-09,9552575
2021-05-10,9694237
2021-05-11,9834672
2021-05-12,10032275
2021-05-13,10224417
2021-05-14,10420908
2021-05-15,10515985
2021-05-16,10583581
2021-05-17,10770535
2021-05-18,10968796
2021-05-19,11136516
2021-05-20,11319071
2021-05-21,11496341
2021-05-22,11596783
2021-05-23,11642042
2021-05-24,11730408
2021-05-25,11793821
2021-05-26,11946885
2021-05-27,12116275
2021-05-28,12362338
2021-05-29,12589820
2021-05-30,12718651
2021-05-31,13017633
2021-06-01,13332535
2021-06-02,13641868
2021-06-03,13991482
2021-06-04,14399613
2021-06-05,14726401
2021-06-06,14943726
2021-06-07,15296838
2021-06-08,15666711
2021-06-09,16039053
2021-06-10,16374086
2021-06-11,16740868
2021-06-12,16925928
2021-06-13,17008593
2021-06-14,17246545
2021-06-15,17504351
2021-06-16,17791447
2021-06-17,18105824
2021-06-18,18505097
2021-06-19,18737677
2021-06-20,18836888
2021-06-21,19006561
2021-06-22,19294391
2021-06-23,19557527
2021-06-24,19862011
2021-06-25,20238743
2021-06-26,20554862
2021-06-27,20731067
2021-06-28,21104066
2021-06-29,21478492
2021-06-30,21854203
2021-07-01,22286132
2021-07-02,22701732
2021-07-03,23038334
2021-07-04,23234834
2021-07-05,23644691
2021-07-06,24061512
2021-07-07,24465632
2021-07-08,24876112
2021-07-09,25233659
2021-07-10,25565530
2021-07-11,25731074
2021-07-12,26118192
2021-07-13,26511768
2021-07-14,26910105
2021-07-15,27310077
2021-07-16,27766413
2021-07-17,28088934
2021-07-18,28257130
2021-07-19,28675840
2021-07-20,29124356
2021-07-21,29544306
2021-07-22,29931152
2021-07-23,30338755
2021-07-24,30576347
2021-07-25,30710211
2021-07-26,31117870
2021-07-27,31546036
2021-07-28,32006085
2021-07-29,32431069
2021-07-30,32858111
2021-07-31,33132785
2021-08-01,33300184
2021-08-02,33717358
2021-08-03,34125412
2021-08-04,34542748
2021-08-05,34973094
2021-08-06,35387087
2021-08-07,35665268
2021-08-08,35826980
2021-08-09,36217966
2021-08-10,36588401
2021-08-11,37001118
2021-08-12,37393562
2021-08-13,37810336
2021-08-14,38066931
2021-08-15,38229586
2021-08-16,38420614
2021-08-17,38860350
2021-08-18,39295564
2021-08-19,39721569
2021-08-20,40157655
2021-08-21,40414871
2021-08-22,40584909
2021-08-23,40993371
2021-08-24,41442293
2021-08-25,41868859
2021-08-26,42311527
2021-08-27,42779276
2021-08-28,43022887
2021-08-29,43191706
2021-08-30,43609486
2021-08-31,44069504
2021-09-01,44525456
2021-09-02,44973691
2021-09-03,45408482
2021-09-04,45704533
2021-09-05,45901202
2021-09-06,46342707
2021-09-07,46806216
2021-09-08,47180046
2021-09-09,47577843
2021-09-10,47920237
2021-09-11,48119034
2021-09-12,48128811
2021-09-13,48431335
2021-09-14,48710983
2021-09-15,49041339
2021-09-16,49402641
2021-09-17,49765407
2021-09-18,49986655
2021-09-19,50124208
2021-09-20,50469988
2021-09-21,50779350
2021-09-22,51107858
2021-09-23,51419334
2021-09-24,51680586
2021-09-25,51808802
2021-09-26,51896811
2021-09-27,52179321
2021-09-28,52480219
2021-09-29,52735604
2021-09-30,53072134
2021-10-01,53376269
2021-10-02,53555314
2021-10-03,53663840
2021-10-04,53893860
2021-10-05,54160520
2021-10-06,54408181
2021-10-07,54672973
2021-10-08,54794305
2021-10-09,54910164
2021-10-10,54988871
2021-10-11,55065215
2021-10-12,55412382
2021-10-13,55792231
2021-10-14,56216504
2021-10-15,56642701
2021-10-16,56896553
2021-10-17,57000194
2021-10-18,57423532
2021-10-19,57847682
2021-10-20,58262290
2021-10-21,58681989
2021-10-22,59145559
2021-10-23,59362209
2021-10-24,59507973
2021-10-25,59872721
2021-10-26,60281754
2021-10-27,60609961
2021-10-28,60962405
2021-10-29,61287174
2021-10-30,61416611
2021-10-31,61566679
2021-11-01,61865255
2021-11-02,62186261
2021-11-03,62536805
2021-11-04,62896754
2021-11-05,63207935
2021-11-06,63374995
2021-11-07,63502845
2021-11-08,63752931
2021-11-09,64105296
2021-11-10,64474855
2021-11-11,64857739
2021-11-12,65253616
2021-11-13,65443234
2021-11-14,65452898
2021-11-15,65790383
2021-11-16,66168395
2021-11-17,66535631
2021-11-18,66896963
2021-11-19,67286913
2021-11-20,67460688
2021-11-21,67554038
2021-11-22,67661372
2021-11-23,67998023
2021-11-24,68345764
2021-11-25,68666404
2021-11-26,68999055
2021-11-27,69155914
2021-11-28,69245348
2021-11-29,69603277
2021-11-30,69974223
2021-12-01,70354412
2021-12-02,70750728
2021-12-03,71066307
2021-12-04,71230002
2021-12-05,71326479
2021-12-06,71639355
2021-12-07,71974862
2021-12-08,72109907
2021-12-09,72411295
2021-12-10,72725900
2021-12-11,72881075
2021-12-12,72978372
2021-12-13,73303975
2021-12-14,73641947
2021-12-15,74024356
2021-12-16,74390421
2021-12-17,74721280
2021-12-18,74883371
2021-12-19,74975742
2021-12-20,75321561
2021-12-21,75673465
2021-12-22,76000177
2021-12-23,76238643
2021-12-24,76251476
2021-12-25,76252205
2021-12-26,76305221
2021-12-27,76738343
2021-12-28,77262374
2021-12-29,77760976
2021-12-30,78186997
2021-12-31,78218991
2022-01-01,78223527
2022-01-02,78327006
2022-01-03,78818054
2022-01-04,79368617
2022-01-05,79913310
2022-01-06,80459736
2022-01-07,81030342
2022-01-08,81301407
2022-01-09,81465405
2022-01-10,81980923
2022-01-11,82481805
2022-01-12,82983067
2022-01-13,83449116
2022-01-14,83869435
2022-01-15,84057493
2022-01-16,84191267
2022-01-17,84612464
2022-01-18,85020263
2022-01-19,85407368
2022-01-20,85790912
2022-01-21,86162922
2022-01-22,86336472
2022-01-23,86455194
2022-01-24,86822341
2022-01-25,87170093
2022-01-26,87514797
2022-01-27,87867336
2022-01-28,88215825
2022-01-29,88373620
2022-01-30,88470064
2022-01-31,88829294
2022-02-01,89171776
2022-02-02,89488997
2022-02-03,89769125
2022-02-04,90092222
2022-02-05,90227724
2022-02-06,90319058
2022-02-07,90606441
2022-02-08,90878673
2022-02-09,91180490
2022-02-10,91449111
2022-02-11,91691275
2022-02-12,91814936
2022-02-13,91892172
2022-02-14,92123014
2022-02-15,92341272
2022-02-16,92558040
2022-02-17,92770580
2022-02-18,92987249
2022-02-19,93076031
2022-02-20,93130037
2022-02-21,93334390
2022-02-22,93539260
2022-02-23,93746402
2022-02-24,93918953
2022-02-25,94126617
2022-02-26,94199442
2022-02-27,94234696
2022-02-28,94279708
2022-03-01,94323674
2022-03-02,94458394
2022-03-03,94586198
2022-03-04,94711890
2022-03-05,94770503
2022-03-06,94825402
2022-03-07,94978303
2022-03-08,95082674
2022-03-09,95202404
2022-03-10,95319330
2022-03-11,95447332
2022-03-12,95504386
2022-03-13,95532727
2022-03-14,95638962
