indice_tiempo,total_1ra_y_2da_dosis_aplicadas
2020-12-29,20483
2020-12-30,20102
2020-12-31,2806
2021-01-01,127
2021-01-02,3312
2021-01-03,444
2021-01-04,10463
2021-01-05,10729
2021-01-06,10112
2021-01-07,18224
2021-01-08,27888
2021-01-09,10209
2021-01-10,1177
2021-01-11,19825
2021-01-12,19393
2021-01-13,16769
2021-01-14,16649
2021-01-15,17442
2021-01-16,5884
2021-01-17,1062
2021-01-18,9832
2021-01-19,13248
2021-01-20,19427
2021-01-21,14118
2021-01-22,9219
2021-01-23,3945
2021-01-24,303
2021-01-25,14213
2021-01-26,12813
2021-01-27,10107
2021-01-28,16049
2021-01-29,23502
2021-01-30,9314
2021-01-31,624
2021-02-01,19525
2021-02-02,23878
2021-02-03,26616
2021-02-04,28135
2021-02-05,33038
2021-02-06,10925
2021-02-07,1383
2021-02-08,23422
2021-02-09,20196
2021-02-10,15625
2021-02-11,17854
2021-02-12,15837
2021-02-13,3036
2021-02-14,152
2021-02-15,1318
2021-02-16,1312
2021-02-17,24402
2021-02-18,63830
2021-02-19,67886
2021-02-20,32621
2021-02-21,20177
2021-02-22,67554
2021-02-23,86947
2021-02-24,93803
2021-02-25,79513
2021-02-26,81679
2021-02-27,17894
2021-02-28,6125
2021-03-01,74557
2021-03-02,75622
2021-03-03,71470
2021-03-04,112081
2021-03-05,111749
2021-03-06,54938
2021-03-07,11787
2021-03-08,102489
2021-03-09,115801
2021-03-10,163977
2021-03-11,186844
2021-03-12,161659
2021-03-13,46390
2021-03-14,9170
2021-03-15,137615
2021-03-16,133743
2021-03-17,139574
2021-03-18,138957
2021-03-19,126186
2021-03-20,50873
2021-03-21,19632
2021-03-22,83063
2021-03-23,106476
2021-03-24,37462
2021-03-25,103196
2021-03-26,93571
2021-03-27,55088
2021-03-28,20825
2021-03-29,120199
2021-03-30,163024
2021-03-31,174949
2021-04-01,117138
2021-04-02,68155
2021-04-03,74490
2021-04-04,48482
2021-04-05,165995
2021-04-06,193999
2021-04-07,238433
2021-04-08,235964
2021-04-09,240400
2021-04-10,92942
2021-04-11,48311
2021-04-12,181827
2021-04-13,186049
2021-04-14,171676
2021-04-15,151098
2021-04-16,123724
2021-04-17,45714
2021-04-18,19903
2021-04-19,90476
2021-04-20,122727
2021-04-21,173958
2021-04-22,178179
2021-04-23,194557
2021-04-24,92224
2021-04-25,49319
2021-04-26,172119
2021-04-27,153741
2021-04-28,158997
2021-04-29,156254
2021-04-30,114949
2021-05-01,20301
2021-05-02,40171
2021-05-03,174700
2021-05-04,232034
2021-05-05,244978
2021-05-06,202806
2021-05-07,205354
2021-05-08,74275
2021-05-09,18692
2021-05-10,141662
2021-05-11,140435
2021-05-12,197603
2021-05-13,192142
2021-05-14,196491
2021-05-15,95077
2021-05-16,67596
2021-05-17,186954
2021-05-18,198261
2021-05-19,167720
2021-05-20,182555
2021-05-21,177270
2021-05-22,100442
2021-05-23,45259
2021-05-24,88366
2021-05-25,63413
2021-05-26,153064
2021-05-27,169390
2021-05-28,246063
2021-05-29,227482
2021-05-30,128831
2021-05-31,298982
2021-06-01,314902
2021-06-02,309333
2021-06-03,349614
2021-06-04,408131
2021-06-05,326788
2021-06-06,217325
2021-06-07,353112
2021-06-08,369873
2021-06-09,372342
2021-06-10,335033
2021-06-11,366782
2021-06-12,185060
2021-06-13,82665
2021-06-14,237952
2021-06-15,257806
2021-06-16,287096
2021-06-17,314377
2021-06-18,399273
2021-06-19,232580
2021-06-20,99211
2021-06-21,169673
2021-06-22,287830
2021-06-23,263136
2021-06-24,304484
2021-06-25,376732
2021-06-26,316119
2021-06-27,176205
2021-06-28,372999
2021-06-29,374426
2021-06-30,375711
2021-07-01,431929
2021-07-02,415600
2021-07-03,336602
2021-07-04,196500
2021-07-05,409857
2021-07-06,416821
2021-07-07,404120
2021-07-08,410480
2021-07-09,357547
2021-07-10,331871
2021-07-11,165544
2021-07-12,387118
2021-07-13,393576
2021-07-14,398337
2021-07-15,399972
2021-07-16,456336
2021-07-17,322521
2021-07-18,168196
2021-07-19,418710
2021-07-20,448516
2021-07-21,419950
2021-07-22,386846
2021-07-23,407603
2021-07-24,237592
2021-07-25,133864
2021-07-26,407659
2021-07-27,428166
2021-07-28,460049
2021-07-29,424984
2021-07-30,427042
2021-07-31,274674
